model_id	fastmic_growth	cobra_growth	abs_diff	rel_diff_pct
MGYG000000615__gradient_L7_bglucan_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000615__gradient_L8_hmo_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000615__gradient_L9_mos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000617__gradient_L0_base_gapseq	0.25343000	0.25342700	3.00e-06	0.0012
MGYG000000617__gradient_L1_inulin_gapseq	0.33294000	0.33293700	3.00e-06	0.0009
MGYG000000617__gradient_L2_fos_gapseq	0.33294000	0.33293700	3.00e-06	0.0009
MGYG000000617__gradient_L3_gos_gapseq	0.33294000	0.33293700	3.00e-06	0.0009
MGYG000000617__gradient_L4_xos_gapseq	0.33294000	0.33293700	3.00e-06	0.0009
MGYG000000617__gradient_L5_pectin_gapseq	0.33294000	0.33293700	3.00e-06	0.0009
MGYG000000617__gradient_L6_resistant_starch_gapseq	0.50935200	0.50934800	4.00e-06	0.0008
MGYG000000617__gradient_L7_bglucan_gapseq	0.50935200	0.50934800	4.00e-06	0.0008
MGYG000000617__gradient_L8_hmo_gapseq	0.50935200	0.50934800	4.00e-06	0.0008
MGYG000000617__gradient_L9_mos_gapseq	0.50935200	0.50934800	4.00e-06	0.0008
MGYG000000619__gradient_L0_base_gapseq	0.24458800	0.24459100	3.00e-06	0.0012
MGYG000000619__gradient_L1_inulin_gapseq	0.24458800	0.24459100	3.00e-06	0.0012
MGYG000000619__gradient_L2_fos_gapseq	0.24458800	0.24459100	3.00e-06	0.0012
MGYG000000619__gradient_L3_gos_gapseq	0.24458800	0.24459100	3.00e-06	0.0012
MGYG000000619__gradient_L4_xos_gapseq	0.24458800	0.24459100	3.00e-06	0.0012
MGYG000000619__gradient_L5_pectin_gapseq	0.24458800	0.24459100	3.00e-06	0.0012
MGYG000000619__gradient_L6_resistant_starch_gapseq	0.30800300	0.30800700	4.00e-06	0.0013
MGYG000000619__gradient_L7_bglucan_gapseq	0.30800300	0.30800700	4.00e-06	0.0013
MGYG000000619__gradient_L8_hmo_gapseq	0.30800300	0.30800700	4.00e-06	0.0013
MGYG000000619__gradient_L9_mos_gapseq	0.37091100	0.37092000	9.00e-06	0.0024
MGYG000000631__gradient_L0_base_gapseq	0.78784400	0.78784400	0.00e+00	0.0000
MGYG000000631__gradient_L1_inulin_gapseq	0.88688900	0.88688900	0.00e+00	0.0000
MGYG000000631__gradient_L2_fos_gapseq	0.88688900	0.88688900	0.00e+00	0.0000
MGYG000000631__gradient_L3_gos_gapseq	0.96117200	0.96117200	0.00e+00	0.0000
MGYG000000631__gradient_L4_xos_gapseq	0.97467800	0.97467800	0.00e+00	0.0000
MGYG000000631__gradient_L5_pectin_gapseq	0.97467800	0.97467800	0.00e+00	0.0000
MGYG000000631__gradient_L6_resistant_starch_gapseq	1.21553600	1.21553600	0.00e+00	0.0000
MGYG000000631__gradient_L7_bglucan_gapseq	1.21553600	1.21553600	0.00e+00	0.0000
MGYG000000631__gradient_L8_hmo_gapseq	1.21553600	1.21553600	0.00e+00	0.0000
MGYG000000631__gradient_L9_mos_gapseq	1.30438000	1.30438000	0.00e+00	0.0000
MGYG000000634__gradient_L0_base_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000634__gradient_L1_inulin_gapseq	0.27981000	0.27981000	0.00e+00	0.0000
MGYG000000634__gradient_L2_fos_gapseq	0.27981000	0.27981000	0.00e+00	0.0000
MGYG000000634__gradient_L3_gos_gapseq	0.27981000	0.27981000	0.00e+00	0.0000
MGYG000000634__gradient_L4_xos_gapseq	0.27981000	0.27981000	0.00e+00	0.0000
MGYG000000634__gradient_L5_pectin_gapseq	0.27981000	0.27981000	0.00e+00	0.0000
MGYG000000634__gradient_L6_resistant_starch_gapseq	0.27981000	0.27981000	0.00e+00	0.0000
MGYG000000634__gradient_L7_bglucan_gapseq	0.27981000	0.27981000	0.00e+00	0.0000
MGYG000000634__gradient_L8_hmo_gapseq	0.27981000	0.27981000	0.00e+00	0.0000
MGYG000000634__gradient_L9_mos_gapseq	0.27981000	0.27981000	0.00e+00	0.0000
MGYG000000643__gradient_L0_base_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000643__gradient_L1_inulin_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000643__gradient_L2_fos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000643__gradient_L3_gos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000643__gradient_L4_xos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000643__gradient_L5_pectin_gapseq	0.30233000	0.30233000	0.00e+00	0.0000
